,Unnamed: 0,owner_type,district,street,price,area,price_per_sqm,room_n,floor_ratio,floor_n,floor_total,year,nearest_kindergarten,nearest_school,nearest_shop,nearest_station,crime_last_month,h_aeroterminis,h_centrinis,h_centrinis kolektorinis,h_dujinis,h_elektra,h_geoterminis,h_kietu kuru,h_kita,b_Blokinis,b_Karkasinis,b_Kita,b_Medinis,b_Monolitinis,b_Mūrinis,b_Rąstinis,age,location,latitude,tier,longitude,t1,t2,t3,t4,t5,lon_scaled,lat_scaled,equip_state,equip_state_encoded
2396,2396,private, Šnipiškės, Kalvarijų g.,54000,33.0,1636.3636363636365,1,0.8,4,5,1968,200.0,210.0,170.0,130.0,3.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,53,"Vilnius, Kalvarijų g.",54.726930200000005,tier2,25.2803325,0.0,1.0,0.0,0.0,0.0,0.265884624545253,0.5502742887342948,Įrengtas ,3
2397,2397,private, Žirmūnai, Tuskulėnų g.,139000,75.0,1853.333333333333,4,0.8,4,5,1986,160.0,310.0,180.0,150.0,8.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,35,"Vilnius, Tuskulėnų g.",54.7001019,tier2,25.2932378,0.0,1.0,0.0,0.0,0.0,0.41858095054538813,0.10081434148611973,Įrengtas ,3
2398,2398,private, Žvėrynas, Sėlių g.,164000,53.17,3084.446116230957,2,0.5,3,6,2007,210.0,270.0,110.0,40.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,14,"Vilnius, Sėlių g.",54.699152000000005,tier1,25.244278899999998,1.0,0.0,0.0,0.0,0.0,-0.16070385143580526,0.08490047426784855,Įrengtas ,3
2399,2399,private, Rasos, Liepkalnio g.,120000,66.2,1812.6888217522653,3,0.6,3,5,1974,160.0,200.0,680.0,220.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,47,"Vilnius, Liepkalnio g.",54.6537292,tier3,25.3028469,0.0,0.0,1.0,0.0,0.0,0.5322764296251239,-0.6760769000668833,Įrengtas ,3
2400,2400,private, Šeškinė, Ozo g.,90000,61.37,1466.5145836728045,3,0.4444444444444444,4,9,1982,380.0,270.0,380.0,140.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,39,"Vilnius, Ozo g.",54.712759899999995,tier3,25.2709822,0.0,0.0,1.0,0.0,0.0,0.15525128343739292,0.3128763809097357,Įrengtas ,3
2401,2401,private, Lazdynai, Architektų g.,99500,70.88,1403.7810383747178,3,0.4444444444444444,4,9,1976,160.0,240.0,360.0,310.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,45,"Vilnius, Architektų g.",54.6806997,tier3,25.208261899999997,0.0,0.0,1.0,0.0,0.0,-0.5868592739015424,-0.22423464739874915,Įrengtas ,3
2402,2402,private, Pilaitė, Vydūno g.,96500,54.71,1763.8457320416742,2,1.0,9,9,2016,380.0,560.0,80.0,120.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,"Vilnius, Vydūno g.",54.70714770000001,tier3,25.186843,0.0,0.0,1.0,0.0,0.0,-0.8402890536791835,0.2188540568732853,Neįrengtas ,1
2403,2403,private, Pilaitė, M. Mažvydo g.,100000,55.43,1804.0772145047808,2,1.0,5,5,2019,430.0,640.0,540.0,190.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,"Vilnius, M. Mažvydo g.",54.7115784,tier3,25.183394600000003,0.0,0.0,1.0,0.0,0.0,-0.8810907406278679,0.2930824719526147,Įrengtas ,3
2404,2404,private, Pašilaičiai, Eitminų g.,83000,44.43,1868.107134818816,2,0.7777777777777778,7,9,2018,250.0,1300.0,510.0,170.0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,"Vilnius, Eitminų g.",54.740877100000006,tier3,25.2216,0.0,0.0,1.0,0.0,0.0,-0.4290420309221306,0.7839295310819734,Įrengtas ,3
2405,2405,private, Antakalnis, Olandų g.,37500,18.0,2083.333333333333,1,0.2,1,5,1971,240.0,150.0,170.0,110.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,50,"Vilnius, Olandų g.",54.6853915,tier2,25.3081454,0.0,1.0,0.0,0.0,0.0,0.5949686168127167,-0.14563197110168094,Įrengtas ,3
2406,2406,private, Karoliniškės, Algimanto Petro Kavoliuko g.,72500,47.0,1542.5531914893618,2,0.2,1,5,1974,110.0,260.0,120.0,340.0,5.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,47,"Vilnius, Algimanto Petro Kavoliuko g.",54.6981294,tier3,25.2090228,0.0,0.0,1.0,0.0,0.0,-0.5778562569663739,0.06776864921536636,Įrengtas ,3
2407,2407,private, Baltupiai, Kalvarijų g.,47500,36.86,1288.659793814433,1,0.3333333333333333,4,12,1988,360.0,370.0,150.0,160.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,33,"Vilnius, Kalvarijų g.",54.726930200000005,tier3,25.2803325,0.0,0.0,1.0,0.0,0.0,0.265884624545253,0.5502742887342948,Įrengtas ,3
2408,2408,private, Šnipiškės, Konstitucijos pr.,300000,118.0,2542.372881355933,3,0.7777777777777778,21,27,2004,230.0,50.0,50.0,130.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,17,"Vilnius, Konstitucijos pr.",54.698347999999996,tier2,25.266824300000003,0.0,1.0,0.0,0.0,0.0,0.10605474760515043,0.07143089931955242,Įrengtas ,3
2409,2409,private, Fabijoniškės, Salomėjos Nėries g.,71500,41.57,1719.9903776762087,2,0.08333333333333333,1,12,2006,230.0,730.0,150.0,50.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,15,"Vilnius, Salomėjos Nėries g.",54.7430785,tier4,25.226373199999998,0.0,0.0,0.0,1.0,0.0,-0.3725652265654532,0.8208100314444284,Įrengtas ,3
2410,2410,private, Žvėrynas, Birutės g.,155500,62.0,2508.064516129032,3,1.0,2,2,1940,240.0,380.0,570.0,310.0,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,81,"Vilnius, Birutės g.",54.6983927,tier1,25.240518899999998,1.0,0.0,0.0,0.0,0.0,-0.20519240929656607,0.07217976747893827,Įrengtas ,3
2411,2411,private, Baltupiai, Didlaukio g.,79000,50.0,1580.0,2,1.0,9,9,2014,180.0,200.0,290.0,160.0,4.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,"Vilnius, Didlaukio g.",54.729085700000006,tier3,25.2679914,0.0,0.0,1.0,0.0,0.0,0.11986394863687815,0.5863858170940416,Įrengtas ,3
2412,2412,private, Fabijoniškės, Fabijoniškių g.,69000,28.0,2464.285714285714,1,0.9090909090909092,10,11,2016,120.0,280.0,150.0,210.0,8.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,"Vilnius, Fabijoniškių g.",54.7320865,tier4,25.2438448,0.0,0.0,0.0,1.0,0.0,-0.16584015009733247,0.6366588276725528,Įrengtas ,3
2413,2413,private, Lazdynai, Architektų g.,81690,77.8,1050.0,4,0.8,4,5,1970,260.0,200.0,420.0,40.0,2.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,51,"Vilnius, Architektų g.",54.6806997,tier3,25.208261899999997,0.0,0.0,1.0,0.0,0.0,-0.5868592739015424,-0.22423464739874915,Įrengtas ,3
2414,2414,private, Justiniškės, Laisvės pr.,119000,59.0,2016.949152542373,3,0.5,3,6,2019,90.0,150.0,170.0,90.0,8.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,"Vilnius, Laisvės pr.",54.6771035,tier4,25.2205195,0.0,0.0,0.0,1.0,0.0,-0.4418265752754335,-0.28448251484814463,Įrengtas ,3
2415,2415,private, Šiaurės miestelis, S. Žukausko g.,175000,87.94,1989.9931771662493,4,0.6666666666666666,6,9,2008,320.0,140.0,100.0,50.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,13,"Vilnius, S. Žukausko g.",54.70820210000001,tier2,25.2921977,0.0,1.0,0.0,0.0,0.0,0.4062744215477767,0.2365186337707764,Įrengtas ,3
