,title,price,area,room_n,floor_n,floor_total,year,building_type,heating_type,equip_state,nearest_kindergarten,nearest_school,nearest_shop,nearest_station,crime_last_month,owner_type,district,street
1444,"Vilnius, Pilaitė, I. Kanto al., 3 kambarių butas",81 000 ,70 ,3,9,9,1993,Blokinis,Centrinis,Įrengtas ,90,210,60,410,5.0,company, Pilaitė, I. Kanto al.
1445,"Vilnius, Šiaurės miestelis, Žirmūnų g., 1 kambario butas",54 800 ,30 ,1,2,9,1965,Mūrinis,Centrinis,Įrengtas ,490,70,110,150,8.0,company, Šiaurės miestelis, Žirmūnų g.
1446,"Vilnius, Bajorai, Fizikų g., 2 kambarių butas",97 020 ,"48,75 ",2,2,5,2019,Mūrinis,Centrinis kolektorinis,Įrengtas ,850,"1,1k",100,170,2.0,company, Bajorai, Fizikų g.
1447,"Vilnius, Žirmūnai, Tuskulėnų g., 2 kambarių butas",84 700 ,"49,39 ",2,4,9,1991,Blokinis,Centrinis,Įrengtas ,160,230,330,180,8.0,company, Žirmūnai, Tuskulėnų g.
1448,"Vilnius, Šeškinė, Ozo g., 2 kambarių butas",101 000 ,"51,4 ",2,3,5,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,420,260,370,50,1.0,company, Šeškinė, Ozo g.
1449,"Vilnius, Lazdynėliai, Lazdynėlių g., 3 kambarių butas",99 000 ,"54,58 ",3,2,4,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,340,"1,5k","1,6k",150,1.0,company, Lazdynėliai, Lazdynėlių g.
1450,"Vilnius, Pilaitė, Gilužio g., 2 kambarių butas",76 000 ,"49,62 ",2,2,3,2020,Mūrinis,Dujinis,Dalinė apdaila ,610,390,590,440,0.0,company, Pilaitė, Gilužio g.
1451,"Vilnius, Aukštieji Paneriai, Juodšilių g., 2 kambarių butas",44 500 ,40 ,2,1,2,1969,Mūrinis,Dujinis,Įrengtas ,820,500,"1,1k",320,0.0,company, Aukštieji Paneriai, Juodšilių g.
1452,"Vilnius, Šeškinė, Ozo g., 2 kambarių butas",91 000 ,"49,26 ",2,1,5,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,420,260,370,50,1.0,company, Šeškinė, Ozo g.
1453,"Vilnius, Senamiestis, Krivūlės g., 3 kambarių butas",154 420 ,"59,21 ",3,2,4,2020,Mūrinis,Dujinis,Dalinė apdaila ,410,340,250,130,3.0,company, Senamiestis, Krivūlės g.
1454,"Vilnius, Senamiestis, Krivūlės g., 3 kambarių butas",127 833 ,"59,62 ",3,2,4,2020,Mūrinis,Dujinis,Dalinė apdaila ,410,340,250,130,3.0,company, Senamiestis, Krivūlės g.
1455,"Vilnius, Valakampiai, Rato g., 3 kambarių butas",220 000 ,"73,79 ",3,2,3,2017,Blokinis,Dujinis,Įrengtas ,520,420,610,100,0.0,company, Valakampiai, Rato g.
1456,"Vilnius, Lazdynėliai, Neužmirštuolių g., 5 kambarių butas",180 000 ,154 ,5,2,3,1997,Mūrinis,Centrinis kolektorinis,Įrengtas ,400,940,180,80,2.0,company, Lazdynėliai, Neužmirštuolių g.
1457,"Vilnius, Šnipiškės, Kalvarijų g., 2 kambarių butas",59 000 ,"33,35 ",2,3,4,1961,Mūrinis,Centrinis,Įrengtas ,320,370,90,40,3.0,company, Šnipiškės, Kalvarijų g.
1458,"Vilnius, Lazdynėliai, Lazdynėlių g., 2 kambarių butas",75 000 ,48 ,2,2,4,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,350,"1,2k","1,3k",120,1.0,company, Lazdynėliai, Lazdynėlių g.
1459,"Vilnius, Žvėrynas, Miglos g., 4 kambarių butas",115 000 ,"75,71 ",4,2,5,1969,Mūrinis,Centrinis,Įrengtas ,190,450,370,190,2.0,company, Žvėrynas, Miglos g.
1460,"Vilnius, Pilaitė, Bitėnų g., 2 kambarių butas",87 000 ,41 ,2,3,4,2020,Mūrinis,Centrinis kolektorinis,Įrengtas ,570,90,470,120,1.0,company, Pilaitė, Bitėnų g.
1461,"Vilnius, Pilaitė, Gilužio g., 3 kambarių butas",103 000 ,"60,35 ",3,2,3,2020,Mūrinis,Dujinis,Dalinė apdaila ,610,390,590,440,0.0,company, Pilaitė, Gilužio g.
1462,"Vilnius, Pilaitė, Gilužio g., 1 kambario butas",60 000 ,"36,38 ",1,3,3,2020,Mūrinis,Dujinis,Dalinė apdaila ,610,390,590,440,0.0,company, Pilaitė, Gilužio g.
